CSAFP,CBSAFP,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,id,tile_name,h_min,h_max,v_min,v_max,msa_area (m2)
206,44860,310M200US44860,44860,"Sulphur Springs, TX",M2,1987018121,66250826,206,h017v014,17,17,14,14,2053256400.0
314,34100,310M200US34100,34100,"Morristown, TN",M1,1129292850,140081484,207,h024v011;h024v012,24,24,11,12,1269250200.0
273,24940,310M200US24940,24940,"Greenwood, SC",M2,2448090456,74346297,208,h025v013,25,25,13,13,2522712600.0
164,43460,310M200US43460,43460,"Sikeston, MO",M2,1087765676,15199711,209,h020v011;h021v011,20,21,11,11,1103081400.0
390,34060,310M200US34060,34060,"Morgantown, WV",M1,2612979127,21733747,210,h025v008;h025v009;h026v008;h026v009,25,26,8,9,2635175700.0
376,33340,310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI",M1,3767864626,4835860493,211,h021v006;h021v007,21,21,6,7,3870627300.0
198,18140,310M200US18140,18140,"Columbus, OH",M1,12423532141,138606167,212,h024v008;h024v009;h025v009,24,25,8,9,12561918300.0
444,15860,310M200US15860,15860,"Cañon City, CO",M2,3970640129,2235368,213,h011v010,11,11,10,10,3972431700.0
406,38100,310M200US38100,38100,"Picayune, MS",M2,2100183724,20778648,214,h021v016,21,21,16,16,2119464900.0
318,29180,310M200US29180,29180,"Lafayette, LA",M1,8828910403,2348844612,215,h019v016;h019v017;h020v016;h020v017,19,20,16,17,9478813500.0
,30300,310M200US30300,30300,"Lewiston, ID-WA",M1,3844328323,32663369,216,h006v003,6,6,3,3,3876773400.0
290,10700,310M200US10700,10700,"Albertville, AL",M2,1465524083,148503229,217,h022v013;h023v013,22,23,13,13,1614074400.0
406,35380,310M200US35380,35380,"New Orleans-Metairie, LA",M1,8293551780,12101115061,218,h020v016;h020v017;h021v016;h021v017,20,21,16,17,12484716300.0
,41500,310M200US41500,41500,"Salinas, CA",M1,8496731189,1270747397,219,h001v009;h001v010;h002v009;h002v010,1,2,9,10,8587413000.0
290,26620,310M200US26620,26620,"Huntsville, AL",M1,3526349956,151144361,220,h022v012;h022v013,22,22,12,13,3677723100.0
522,44100,310M200US44100,44100,"Springfield, IL",M1,3063280701,25218803,221,h020v009,20,20,9,9,3088585800.0
298,46980,310M200US46980,46980,"Vicksburg, MS",M2,2786648433,113512128,222,h020v014;h020v015,20,20,14,15,2900015100.0
440,10540,310M200US10540,10540,"Albany, OR",M1,5932815078,49654169,223,h002v003;h002v004;h003v003;h003v004,2,3,3,4,5983162200.0
,13620,310M200US13620,13620,"Berlin, NH-VT",M2,6366924190,121059528,224,h029v003;h029v004;h030v003;h030v004,29,30,3,4,6486912000.0
192,35140,310M200US35140,35140,"Newberry, SC",M2,1631805482,44657974,226,h025v012;h025v013;h026v013,25,26,12,13,1676394000.0
267,24580,310M200US24580,24580,"Green Bay, WI",M1,4843697458,2534691724,227,h020v005;h021v005;h021v006,20,21,5,6,4914624600.0
147,36620,310M200US36620,36620,"Ontario, OR-ID",M2,26662232202,118070503,228,h005v004;h005v005;h005v006;h006v005,5,6,4,6,26781321600.0
488,46700,310M200US46700,46700,"Vallejo-Fairfield, CA",M1,2128379537,218647641,229,h002v008,2,2,8,8,2305148400.0
548,49020,310M200US49020,49020,"Winchester, VA-WV",M1,2753436712,16216599,230,h026v008;h026v009;h027v008;h027v009,26,27,8,9,2769401700.0
,15580,310M200US15580,15580,"Butte-Silver Bow, MT",M2,1859598425,1522160,231,h008v004,8,8,4,4,1861033500.0
298,27140,310M200US27140,27140,"Jackson, MS",M1,12040471900,208508037,232,h020v014;h020v015;h021v014;h021v015,20,21,14,15,12249338400.0
408,35300,310M200US35300,35300,"New Haven-Milford, CT",M1,1565645638,667096946,233,h029v006;h029v007,29,29,6,7,1609320600.0
320,23140,310M200US23140,23140,"Frankfort, IN",M2,1049119208,461117,234,h022v008;h022v009,22,22,8,9,1049601600.0
,21660,310M200US21660,21660,"Eugene, OR",M1,11792794737,436681302,235,h002v004;h003v004;h003v005,2,3,4,5,11962770300.0
,24500,310M200US24500,24500,"Great Falls, MT",M1,6988361955,34331733,236,h008v003;h009v003,8,9,3,3,7022952900.0
,28060,310M200US28060,28060,"Kalispell, MT",M2,13175882902,437082640,237,h007v001;h007v002;h008v001;h008v002;h008v003,7,8,1,3,13613149800.0
,29260,310M200US29260,29260,"La Grande, OR",M2,5274790700,4995926,238,h005v003;h005v004;h006v004,5,6,3,4,5279548500.0
,20140,310M200US20140,20140,"Dublin, GA",M2,2875695898,38204475,239,h025v014,25,25,14,14,2913854400.0
,14180,310M200US14180,14180,"Blytheville, AR",M2,2332480064,49826361,240,h020v012,20,20,12,12,2381625000.0
170,30880,310M200US30880,30880,"Logan, WV",M2,1175209714,4830097,241,h025v010,25,25,10,10,1180035900.0
500,42660,310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA",M1,15209110951,1132535454,242,h003v001;h003v002;h004v001;h004v002,3,4,1,2,15546811500.0
,49420,310M200US49420,49420,"Yakima, WA",M1,11125450097,41102141,243,h004v002;h004v003;h005v003,4,5,2,3,11165626800.0
,38820,310M200US38820,38820,"Port Angeles, WA",M2,4503157983,2413675940,244,h002v001;h003v001,2,3,1,1,4592344500.0
248,22300,310M200US22300,22300,"Findlay, OH",M2,1376210232,5959837,245,h023v008;h024v008,23,24,8,8,1382084100.0
,38380,310M200US38380,38380,"Plainview, TX",M2,2602115649,246678,246,h013v013;h013v014,13,13,13,14,2602231200.0
108,11100,310M200US11100,11100,"Amarillo, TX",M1,13338829042,87118916,247,h012v012;h013v012;h013v013;h014v012;h014v013,12,14,12,13,13425402600.0
,29860,310M200US29860,29860,"Laurel, MS",M2,3551003007,15858394,248,h021v015,21,21,15,15,3567144600.0
544,38920,310M200US38920,38920,"Port Lavaca, TX",M2,1312707083,1361903486,249,h016v017;h016v018,16,16,17,18,1934715600.0
,29340,310M200US29340,29340,"Lake Charles, LA",M1,6082764224,1767344271,250,h018v016;h018v017;h019v016;h019v017,18,19,16,17,7079706900.0
148,14460,310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH",M1,9032882339,2654345192,251,h030v005;h030v006,30,30,5,6,9512357400.0
,45300,310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL",M1,6512932308,2115146547,252,h025v017;h025v018;h026v017;h026v018,25,26,17,18,6942754800.0
470,40660,310M200US40660,40660,"Rome, GA",M1,1320694741,22123843,254,h023v013,23,23,13,13,1342908000.0
140,39260,310M200US39260,39260,"Prineville, OR",M2,7715900050,21091929,255,h003v004;h004v004;h004v005,3,4,4,5,7737868800.0
184,10420,310M200US10420,10420,"Akron, OH",M1,2331619578,62018442,256,h025v007;h025v008,25,25,7,8,2393621100.0
,49080,310M200US49080,49080,"Winnemucca, NV",M2,24969524844,44196979,257,h004v006;h004v007;h005v006;h005v007,4,5,6,7,25012584000.0
258,26540,310M200US26540,26540,"Huntington, IN",M2,991056505,13133894,258,h022v008;h023v008,22,23,8,8,1004252400.0
,47340,310M200US47340,47340,"Wabash, IN",M2,1068206218,22115988,259,h022v008,22,22,8,8,1090407600.0
122,16340,310M200US16340,16340,"Cedartown, GA",M2,803772833,4667496,260,h023v013,23,23,13,13,808457400.0
312,47660,310M200US47660,47660,"Warrensburg, MO",M2,2147833554,10122996,261,h018v010,18,18,10,10,2157453000.0
,27620,310M200US27620,27620,"Jefferson City, MO",M1,5821488631,80070671,262,h018v010;h019v010,18,19,10,10,5901498900.0
,26500,310M200US26500,26500,"Huntingdon, PA",M2,2265337402,37851955,263,h026v008;h027v007;h027v008,26,27,7,8,2302993800.0
104,24020,310M200US24020,24020,"Glens Falls, NY",M1,4398123501,205555420,264,h028v005;h029v005,28,29,5,5,4603650300.0
558,30820,310M200US30820,30820,"Lock Haven, PA",M2,2299868232,23178794,265,h026v007;h027v007,26,27,7,7,2323555200.0
,38460,310M200US38460,38460,"Plattsburgh, NY",M2,2688025812,206355551,266,h028v004,28,28,4,4,2894022900.0
,46380,310M200US46380,46380,"Ukiah, CA",M2,9081415725,962953346,267,h001v007;h001v008;h002v007,1,2,7,8,9102543300.0
273,24860,310M200US24860,24860,"Greenville-Anderson-Mauldin, SC",M1,7020898608,200411721,268,h024v012;h024v013;h025v012;h025v013,24,25,12,13,7221564900.0
,38240,310M200US38240,38240,"Pinehurst-Southern Pines, NC",M2,1807460825,20689517,269,h026v012;h027v011;h027v012,26,27,11,12,1828152900.0
122,12020,310M200US12020,12020,"Athens-Clarke County, GA",M1,2654353088,26370977,270,h024v013;h025v013,24,25,13,13,2680595100.0
,25940,310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC",M1,3189787021,1013139043,271,h026v014,26,26,14,14,3574578600.0
174,11940,310M200US11940,11940,"Athens, TN",M2,1114009043,5340572,272,h023v012;h024v012,23,24,12,12,1119408300.0
380,19300,310M200US19300,19300,"Daphne-Fairhope-Foley, AL",M1,4117584013,1133129224,273,h022v015;h022v016,22,22,15,16,4352656500.0
,13220,310M200US13220,13220,"Beckley, WV",M1,3281350429,27863627,274,h025v010,25,25,10,10,3309208200.0
464,40380,310M200US40380,40380,"Rochester, NY",M1,8459597611,5126899048,275,h026v006;h027v005;h027v006,26,27,5,6,8677560600.0
518,44060,310M200US44060,44060,"Spokane-Spokane Valley, WA",M1,14611513157,272295323,276,h005v002;h006v001;h006v002,5,6,1,2,14884211700.0
,40700,310M200US40700,40700,"Roseburg, OR",M2,13044358476,252043763,277,h002v004;h002v005;h003v004;h003v005,2,3,4,5,13133385900.0
488,41940,310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA",M1,6938387443,40386344,278,h001v009;h002v009;h002v010,1,2,9,10,6971616000.0
,14660,310M200US14660,14660,"Brainerd, MN",M2,7821654964,1426123766,279,h017v003;h017v004;h018v003;h018v004,17,18,3,4,9247265100.0
,24620,310M200US24620,24620,"Greeneville, TN",M2,1611346226,5099735,280,h024v011;h024v012;h025v011,24,25,11,12,1616618700.0
525,44460,310M200US44460,44460,"Steamboat Springs, CO",M2,6117617719,15831744,281,h010v008;h010v009;h011v008;h011v009,10,11,8,9,6134084100.0
,27020,310M200US27020,27020,"Iron Mountain, MI-WI",M2,3236248545,64644693,282,h020v004;h020v005;h021v004;h021v005,20,21,4,5,3300466500.0
,22660,310M200US22660,22660,"Fort Collins, CO",M1,6723986975,98048035,283,h011v008;h011v009;h012v008;h012v009,11,12,8,9,6821145000.0
,48900,310M200US48900,48900,"Wilmington, NC",M1,2749022198,516894112,284,h027v012;h028v012;h028v013,27,28,12,13,2848782600.0
,13780,310M200US13780,13780,"Binghamton, NY",M1,3171116711,36308390,285,h027v006;h028v006,27,28,6,6,3206686500.0
332,29420,310M200US29420,29420,"Lake Havasu City-Kingman, AZ",M1,34475714657,387347771,287,h005v011;h005v012;h006v010;h006v011;h006v012;h007v010;h007v011,5,7,10,12,34865049600.0
396,34820,310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",M1,5136165448,833808418,288,h027v012;h027v013;h028v012;h028v013,27,28,12,13,5279652000.0
440,31020,310M200US31020,31020,"Longview, WA",M1,2953144614,67322784,289,h003v002;h003v003,3,3,2,3,3019412700.0
,27460,310M200US27460,27460,"Jamestown-Dunkirk-Fredonia, NY",M2,2745973929,1139483687,290,h025v007;h026v006;h026v007,25,26,6,7,2809784700.0
294,42980,310M200US42980,42980,"Seymour, IN",M2,1319119292,11910481,291,h022v009;h022v010,22,22,9,10,1330996500.0
336,23180,310M200US23180,23180,"Frankfort, KY",M2,1060818733,17337099,292,h023v010,23,23,10,10,1078348500.0
488,42100,310M200US42100,42100,"Santa Cruz-Watsonville, CA",M1,1152967332,419570851,294,h001v009;h002v009,1,2,9,9,1157290200.0
,20300,310M200US20300,20300,"Dumas, TX",M2,2330188757,25718180,295,h013v012,13,13,12,12,2355733800.0
,29540,310M200US29540,29540,"Lancaster, PA",M1,2444495031,103535036,296,h027v008;h028v008,27,28,8,8,2547879300.0
154,15180,310M200US15180,15180,"Brownsville-Harlingen, TX",M1,2307839892,998169935,297,h015v019;h016v019;h016v020,15,16,19,20,2611512900.0
,13980,310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA",M1,3763221779,46075636,298,h025v010;h025v011;h026v010;h026v011,25,26,10,11,3808844100.0
178,17140,310M200US17140,17140,"Cincinnati, OH-KY-IN",M1,10788684057,192334753,299,h023v009;h023v010;h024v009;h024v010,23,24,9,10,10980218700.0
172,16740,310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC",M1,13122824461,290855932,300,h025v011;h025v012;h026v011;h026v012,25,26,11,12,13413696300.0
,31340,310M200US31340,31340,"Lynchburg, VA",M1,5491599067,68380853,301,h026v010;h027v010,26,27,10,10,5559480000.0
,42300,310M200US42300,42300,"Sault Ste. Marie, MI",M2,4036315605,2952483920,302,h022v004;h023v004,22,23,4,4,4236445800.0
233,20780,310M200US20780,20780,"Edwards, CO",M2,4362874440,18843976,303,h010v009;h011v009,10,11,9,9,4383220500.0
346,30980,310M200US30980,30980,"Longview, TX",M1,4611066613,68442652,304,h017v014;h017v015;h018v015,17,18,14,15,4679687700.0
,14580,310M200US14580,14580,"Bozeman, MT",M2,6746197554,75237084,305,h008v004;h009v004;h009v005,8,9,4,5,6817365900.0
,48060,310M200US48060,48060,"Watertown-Fort Drum, NY",M1,3285858287,1524359917,306,h027v005,27,27,5,5,3486429000.0
,12420,310M200US12420,12420,"Austin-Round Rock, TX",M1,10933496832,151856267,307,h015v016;h015v017;h016v016;h016v017,15,16,16,17,11085264900.0
288,26660,310M200US26660,26660,"Huntsville, TX",M2,3827524076,97529546,308,h017v015;h017v016,17,17,15,16,3925566900.0
482,41620,310M200US41620,41620,"Salt Lake City, UT",M1,19901615700,1055940277,309,h006v008;h007v007;h007v008;h008v007;h008v008,6,8,7,8,20961203400.0
340,42620,310M200US42620,42620,"Searcy, AR",M2,2680883279,18261873,310,h019v012;h019v013,19,19,12,13,2699181000.0
,23700,310M200US23700,23700,"Gallup, NM",M2,14114968741,14130257,311,h009v011;h009v012;h010v012,9,10,11,12,14128443900.0
,43980,310M200US43980,43980,"Spencer, IA",M2,1469139469,13866649,312,h017v007,17,17,7,7,1483175700.0
365,40100,310M200US40100,40100,"Rio Grande City, TX",M2,3168016109,15346370,313,h014v019;h015v019,14,15,19,19,3181071600.0
524,44300,310M200US44300,44300,"State College, PA",M1,2874687362,7878513,314,h026v007;h026v008;h027v007;h027v008,26,27,7,8,2882452500.0
142,18980,310M200US18980,18980,"Cullman, AL",M2,1903376556,52118974,315,h022v013,22,22,13,13,1955118600.0
,13380,310M200US13380,13380,"Bellingham, WA",M1,5456492712,1027129526,316,h003v000;h004v000;h004v001;h005v001,3,5,0,1,5613084000.0
454,39780,310M200US39780,39780,"Red Bluff, CA",M2,7639716445,32276063,317,h002v007;h003v007,2,3,7,7,7674061500.0
425,31930,310M200US31930,31930,"Marietta, OH",M2,1636799193,20784911,319,h025v009,25,25,9,9,1657355400.0
,36940,310M200US36940,36940,"Owatonna, MN",M2,1112775709,6976791,320,h018v006,18,18,6,6,1119673800.0
170,26580,310M200US26580,26580,"Huntington-Ashland, WV-KY-OH",M1,6546101845,91680146,321,h024v009;h024v010;h025v009;h025v010,24,25,9,10,6637992300.0
,11820,310M200US11820,11820,"Astoria, OR",M2,2147298715,661241626,322,h002v002;h002v003;h003v002;h003v003,2,3,2,3,2212722000.0
428,37980,310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",M1,11920145588,693341961,323,h028v007;h028v008;h029v008,28,29,7,8,12324039300.0
,49740,310M200US49740,49740,"Yuma, AZ",M1,14281191792,13171316,324,h005v013;h005v014;h006v013;h006v014,5,6,13,14,14294572200.0
,16700,310M200US16700,16700,"Charleston-North Charleston, SC",M1,6703756813,1488520869,325,h026v013;h026v014;h027v013;h027v014,26,27,13,14,7329975300.0
,13500,310M200US13500,13500,"Bennettsville, SC",M2,1242378725,14475689,326,h026v012;h027v012,26,27,12,12,1256833800.0
185,17380,310M200US17380,17380,"Cleveland, MS",M2,2270314787,75742137,327,h020v013;h020v014,20,20,13,14,2345676300.0
,35900,310M200US35900,35900,"North Wilkesboro, NC",M2,1953561144,6851576,328,h025v011;h026v011,25,26,11,11,1960205400.0
142,13820,310M200US13820,13820,"Birmingham-Hoover, AL",M1,13675107149,232538326,329,h022v013;h022v014;h023v013;h023v014,22,23,13,14,13907518200.0
,47460,310M200US47460,47460,"Walla Walla, WA",M1,5539408751,87394628,330,h005v003;h006v003,5,6,3,3,5627340900.0
,21260,310M200US21260,21260,"Ellensburg, WA",M2,5950707492,92362094,331,h004v002;h005v002,4,5,2,2,6042811500.0
339,30700,310M200US30700,30700,"Lincoln, NE",M1,3649230871,34424716,332,h016v008;h016v009,16,16,8,9,3683709900.0
330,29620,310M200US29620,29620,"Lansing-East Lansing, MI",M1,4397041601,44017378,333,h023v006;h023v007,23,23,6,7,4440990600.0
,18420,310M200US18420,18420,"Corinth, MS",M2,1036100595,3417891,334,h021v013,21,21,13,13,1040073300.0
,25580,310M200US25580,25580,"Hastings, NE",M2,1458869089,2481410,335,h015v008;h015v009,15,15,8,9,1461318300.0
294,18020,310M200US18020,18020,"Columbus, IN",M1,1053850604,6814131,336,h022v009,22,22,9,9,1060626600.0
,33500,310M200US33500,33500,"Minot, ND",M2,12339227195,248796580,337,h014v002;h014v003,14,14,2,3,12587904000.0
198,13340,310M200US13340,13340,"Bellefontaine, OH",M2,1187336848,21598324,338,h023v008;h024v008,23,24,8,8,1208982600.0
,32660,310M200US32660,32660,"McMinnville, TN",M2,1120635693,3508325,340,h023v012,23,23,12,12,1123927200.0
244,22020,310M200US22020,22020,"Fargo, ND-MN",M1,7278667047,26517816,341,h016v004;h017v004,16,17,4,4,7305282900.0
360,15340,310M200US15340,15340,"Bucyrus, OH",M2,1040619677,2359515,342,h024v008,24,24,8,8,1043006400.0
378,26780,310M200US26780,26780,"Hutchinson, MN",M2,1272903790,36406719,343,h017v005;h017v006;h018v005;h018v006,17,18,5,6,1309084200.0
548,12580,310M200US12580,12580,"Baltimore-Columbia-Towson, MD",M1,6737902107,1304071479,344,h027v008;h027v009;h028v008;h028v009,27,28,8,9,7018132500.0
,17500,310M200US17500,17500,"Clewiston, FL",M2,2986009287,96120136,345,h026v018;h027v018,26,27,18,18,3081674700.0
,21780,310M200US21780,21780,"Evansville, IN-KY",M1,3793444395,125176173,346,h021v010;h021v011;h022v010;h022v011,21,22,10,11,3918194100.0
,25700,310M200US25700,25700,"Hays, KS",M2,2330762263,1197085,347,h015v010,15,15,10,10,2331920700.0
,21840,310M200US21840,21840,"Fairfield, IA",M2,1127979900,3523325,348,h019v008,19,19,8,8,1131514200.0
,49380,310M200US49380,49380,"Worthington, MN",M2,1852113620,19287326,349,h017v006,17,17,6,6,1871344800.0
170,16620,310M200US16620,16620,"Charleston, WV",M1,4520564666,32465412,350,h025v009;h025v010,25,25,9,10,4552969500.0
148,12700,310M200US12700,12700,"Barnstable Town, MA",M1,1019719638,2361606119,351,h030v006;h031v006,30,31,6,6,1165421700.0
310,28020,310M200US28020,28020,"Kalamazoo-Portage, MI",M1,3030253787,1295530358,352,h022v007,22,22,7,7,3116901600.0
,17200,310M200US17200,17200,"Claremont-Lebanon, NH-VT",M2,10107502443,176274795,353,h029v004;h029v005;h030v004;h030v005,29,30,4,5,10283991300.0
,32700,310M200US32700,32700,"McPherson, KS",M2,2326520576,6030190,354,h015v010;h016v010,15,16,10,10,2332393200.0
534,45780,310M200US45780,45780,"Toledo, OH",M1,3531467479,673611709,355,h023v007;h023v008;h024v007;h024v008,23,24,7,8,3570768000.0
,27540,310M200US27540,27540,"Jasper, IN",M2,1972301902,38637392,356,h022v010,22,22,10,10,2011023000.0
,32380,310M200US32380,32380,"Mason City, IA",M2,2508196661,22377392,357,h018v006;h018v007,18,18,6,7,2530363500.0
538,34780,310M200US34780,34780,"Muskogee, OK",M2,2099053116,75966893,358,h017v012;h017v013,17,17,12,13,2174989500.0
288,26420,310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX",M1,21395340858,3064071034,359,h016v016;h016v017;h017v016;h017v017;h018v016;h018v017,16,18,16,17,22273386300.0
376,48580,310M200US48580,48580,"Whitewater-Elkhorn, WI",M2,1438080813,55247228,360,h021v007,21,21,7,7,1493232300.0
106,29780,310M200US29780,29780,"Las Vegas, NM",M2,12213734849,51380262,361,h011v012;h012v012,11,12,12,12,12264445800.0
122,45580,310M200US45580,45580,"Thomaston, GA",M2,837696991,10663279,362,h024v014,24,24,14,14,848328300.0
309,33060,310M200US33060,33060,"Miami, OK",M2,1219467500,35708902,363,h017v011;h017v012,17,17,11,12,1255171500.0
146,14100,310M200US14100,14100,"Bloomsburg-Berwick, PA",M1,1588566913,23674272,364,h027v007;h028v007,27,28,7,7,1612498500.0
,20580,310M200US20580,20580,"Eagle Pass, TX",M2,3313824009,31864676,365,h014v017;h014v018,14,14,17,18,3344309100.0
536,46060,310M200US46060,46060,"Tucson, AZ",M1,23794325411,5273054,366,h006v014;h007v014;h007v015;h008v014,6,8,14,15,23797154700.0
372,33260,310M200US33260,33260,"Midland, TX",M1,4701543644,6452583,367,h013v014;h013v015,13,13,14,15,4707596700.0
,40860,310M200US40860,40860,"Rutland, VT",M2,2408211831,38758591,368,h029v005,29,29,5,5,2447013600.0
,14380,310M200US14380,14380,"Boone, NC",M2,809500164,2341456,369,h025v011,25,25,11,11,811888200.0
312,11860,310M200US11860,11860,"Atchison, KS",M2,1116730109,6857567,370,h017v009,17,17,9,9,1123440300.0
,11380,310M200US11380,11380,"Andrews, TX",M2,3886770077,957039,371,h012v014;h012v015;h013v014;h013v015,12,13,14,15,3888243000.0
212,19380,310M200US19380,19380,"Dayton, OH",M1,3320017376,21705383,372,h023v008;h023v009;h024v009,23,24,8,9,3341966400.0
400,29980,310M200US29980,29980,"Lawrenceburg, TN",M2,1598356717,2228109,373,h022v012;h022v013,22,22,12,13,1600463700.0
221,19940,310M200US19940,19940,"Dixon, IL",M2,1877371243,10599322,374,h020v007;h020v008,20,20,7,8,1887867000.0
198,49780,310M200US49780,49780,"Zanesville, OH",M2,1721328071,20657330,375,h024v008;h024v009;h025v008;h025v009,24,25,8,9,1742263200.0
,19860,310M200US19860,19860,"Dickinson, ND",M2,3456990389,14119172,376,h013v004,13,13,4,4,3470914800.0
,20220,310M200US20220,20220,"Dubuque, IA",M1,1575488097,21138791,377,h019v007;h020v007,19,20,7,7,1596784500.0
448,39500,310M200US39500,39500,"Quincy, IL-MO",M2,3523024916,56685924,378,h019v009,19,19,9,9,3580188300.0
294,35220,310M200US35220,35220,"New Castle, IN",M2,1014954777,7655158,379,h022v009;h023v009,22,23,9,9,1022615100.0
,42380,310M200US42380,42380,"Sayre, PA",M2,2971750796,35275587,380,h027v006;h027v007,27,27,6,7,3007135800.0
,37660,310M200US37660,37660,"Parsons, KS",M2,1671305806,20261080,381,h017v011,17,17,11,11,1691763300.0
,49100,310M200US49100,49100,"Winona, MN",M2,1621877146,39812978,382,h019v006,19,19,6,6,1661630400.0
538,12780,310M200US12780,12780,"Bartlesville, OK",M2,1076019506,22829398,383,h017v011;h017v012,17,17,11,12,1099188900.0
144,14020,310M200US14020,14020,"Bloomington, IN",M1,2019733549,50045972,385,h022v009;h022v010,22,22,9,10,2069647200.0
,18100,310M200US18100,18100,"Columbus, NE",M2,1745758248,27319783,386,h016v008,16,16,8,8,1772964900.0
190,33620,310M200US33620,33620,"Moberly, MO",M2,1250217889,13254193,387,h018v009;h019v009;h019v010,18,19,9,10,1263406500.0
357,27500,310M200US27500,27500,"Janesville-Beloit, WI",M1,1859887390,20681629,388,h020v007;h021v007,20,21,7,7,1880564400.0
,15420,310M200US15420,15420,"Burley, ID",M2,8604535339,53190903,389,h007v006;h007v007,7,7,6,7,8658857700.0
312,29940,310M200US29940,29940,"Lawrence, KS",M1,1180720703,48581683,390,h017v010,17,17,10,10,1229176800.0
,10220,310M200US10220,10220,"Ada, OK",M2,1865879213,12413427,391,h016v013,16,16,13,13,1878106500.0
515,21140,310M200US21140,21140,"Elkhart-Goshen, IN",M1,1199614703,12423390,392,h022v007;h022v008,22,22,7,8,1211852700.0
370,38940,310M200US38940,38940,"Port St. Lucie, FL",M1,2888882297,843124181,393,h027v017;h027v018,27,27,17,18,3340536300.0
,35820,310M200US35820,35820,"North Platte, NE",M2,10343635304,32514480,394,h014v008,14,14,8,8,10377871200.0
,40540,310M200US40540,40540,"Rock Springs, WY",M2,27005056306,166887297,395,h009v007;h009v008;h010v007;h010v008,9,10,7,8,27171702900.0
,43100,310M200US43100,43100,"Sheboygan, WI",M1,1324200980,1968279272,397,h021v006,21,21,6,6,1340831700.0
,30060,310M200US30060,30060,"Lebanon, MO",M2,1980627561,8515352,398,h018v011;h019v011,18,19,11,11,1989057600.0
378,39860,310M200US39860,39860,"Red Wing, MN",M2,1960200377,61025248,399,h018v005;h018v006;h019v006,18,19,5,6,2021148900.0
,22540,310M200US22540,22540,"Fond du Lac, WI",M1,1863635376,119885405,400,h020v006;h021v006,20,21,6,6,1983571200.0
,31620,310M200US31620,31620,"Magnolia, AR",M2,1984105628,1774699,401,h018v014,18,18,14,14,1986282900.0
,44740,310M200US44740,44740,"Storm Lake, IA",M2,1488989044,13791664,402,h017v007,17,17,7,7,1502880300.0
212,24820,310M200US24820,24820,"Greenville, OH",M2,1549120892,4245786,403,h023v008;h023v009,23,23,8,9,1554142500.0
,31980,310M200US31980,31980,"Marion, IN",M2,1072452767,2133507,404,h022v008;h023v008,22,23,8,8,1074669300.0
,35440,310M200US35440,35440,"Newport, OR",M2,2537576621,554316199,405,h002v003;h002v004,2,2,3,4,2570314500.0
122,29300,310M200US29300,29300,"LaGrange, GA",M2,1072232618,82803338,406,h023v014,23,23,14,14,1154986200.0
515,43780,310M200US43780,43780,"South Bend-Mishawaka, IN-MI",M1,2455267304,56251230,407,h022v007;h022v008,22,22,7,8,2511377100.0
,12620,310M200US12620,12620,"Bangor, ME",M1,8799074164,413603851,408,h030v002;h030v003;h030v004;h031v002;h031v003;h031v004,30,31,2,4,9215228700.0
,45740,310M200US45740,45740,"Toccoa, GA",M2,463948062,13121983,409,h024v012;h024v013,24,24,12,13,476910000.0
206,23620,310M200US23620,23620,"Gainesville, TX",M2,2265775271,61333916,410,h016v014,16,16,14,14,2327560200.0
,40620,310M200US40620,40620,"Rolla, MO",M2,1739898247,6587832,411,h019v010;h019v011,19,19,10,11,1746233100.0
,30420,310M200US30420,30420,"Lexington, NE",M2,3810563621,28203452,412,h014v008;h014v009;h015v008;h015v009,14,15,8,9,3838764600.0
292,13940,310M200US13940,13940,"Blackfoot, ID",M2,5423127704,68447504,413,h007v006;h008v006,7,8,6,6,5491210500.0
,19980,310M200US19980,19980,"Dodge City, KS",M2,2844508241,2097359,414,h014v011;h015v011,14,15,11,11,2846353500.0
,44260,310M200US44260,44260,"Starkville, MS",M2,1186750731,9649656,415,h021v014,21,21,14,14,1196134200.0
,25880,310M200US25880,25880,"Hillsdale, MI",M2,1549199572,22938608,416,h023v007,23,23,7,7,1571924700.0
188,17580,310M200US17580,17580,"Clovis, NM",M2,3638239993,8177773,417,h012v013,12,12,13,13,3645927900.0
,26220,310M200US26220,26220,"Hood River, OR",M2,1351717728,29106865,418,h003v003;h004v003,3,4,3,3,1380189600.0
,46180,310M200US46180,46180,"Tupelo, MS",M2,3834425194,36689832,419,h021v013,21,21,13,13,3871163700.0
,42820,310M200US42820,42820,"Selma, AL",M2,2534807220,39134809,420,h022v014;h022v015,22,22,14,15,2573891100.0
118,11540,310M200US11540,11540,"Appleton, WI",M1,2475494072,222455372,421,h020v005;h020v006;h021v005;h021v006,20,21,5,6,2697846300.0
